File Name,Token IDs,Label
Contract1.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 25522, 50118, 1437, 1437, 1437, 1100, 285, 1300, 32267, 131, 50118, 1437, 1437, 1437, 20410, 1640, 44547, 46161, 6755, 43, 285, 7225, 30383, 131, 50140, 1437, 1437, 1437, 515, 5423, 19163, 36267, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 5043, 2937, 30383, 1640, 44547, 1002, 32267, 6, 6755, 3783, 92, 30383, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 23976, 32267, 49333, 1100, 1640, 288, 238, 22, 49695, 1002, 3206, 1100, 45751, 50140, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 7225, 30383, 10975, 23976, 32267, 742, 5457, 92, 30383, 131, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 19163, 36267, 1640, 17747, 32267, 6, 1002, 32267, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 278, 7061, 32267, 43048, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1300, 32267, 5457, 49049, 4, 29, 7232, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 120, 7061, 32267, 43048, 285, 1217, 2886, 36, 44547, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 671, 1300, 32267, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 120, 19163, 36267, 30383, 1640, 44547, 1002, 32267, 43, 285, 1217, 2886, 36, 20951, 3783, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 671, 7225, 30383, 10975, 23976, 32267, 44082, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract10.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 48911, 3629, 25522, 50118, 1437, 1437, 1437, 1100, 285, 8218, 2630, 134, 46486, 131, 50118, 1437, 1437, 1437, 1100, 285, 8218, 2630, 176, 46486, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 19163, 36267, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 44547, 18134, 42679, 2630, 134, 46486, 6, 1100, 18134, 42679, 2630, 176, 46486, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 8218, 2630, 134, 46486, 5457, 18134, 42679, 2630, 134, 46486, 131, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 8218, 2630, 176, 46486, 5457, 18134, 42679, 2630, 176, 46486, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 2937, 30383, 1640, 46823, 2881, 13561, 6, 6755, 3783, 92, 30383, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 48911, 2630, 1640, 42679, 2630, 134, 46486, 322, 354, 48911, 1640, 4651, 30383, 238, 22, 30383, 45, 8218, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 48911, 2630, 1640, 42679, 2630, 176, 46486, 322, 354, 48911, 1640, 4651, 30383, 238, 22, 30383, 45, 8218, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 19163, 36267, 1640, 44547, 1640, 9226, 238, 8218, 2630, 134, 46486, 6, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 19163, 36267, 1640, 44547, 1640, 9226, 238, 8218, 2630, 176, 46486, 6, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118, 50118, 47888, 44639, 2630, 25522, 50118, 1437, 1437, 1437, 5043, 16, 48911, 1640, 20951, 3783, 414, 43, 6731, 2886, 36, 46787, 4397, 50118, 24303, 50118]",benign
Contract100.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 46064, 104, 1023, 1570, 25522, 50118, 1437, 1437, 1437, 1100, 285, 1203, 254, 134, 131, 50118, 1437, 1437, 1437, 1100, 285, 1203, 254, 176, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 33295, 9125, 46552, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 44547, 18134, 13033, 254, 134, 6, 1100, 18134, 13033, 254, 176, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1203, 254, 134, 5457, 18134, 13033, 254, 134, 131, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 1203, 254, 176, 5457, 18134, 13033, 254, 176, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 4559, 30383, 46552, 1640, 46823, 2881, 13561, 6, 6755, 3783, 92, 30383, 6, 49315, 398, 748, 134, 6, 49315, 398, 748, 176, 6, 46487, 2881, 910, 134, 6, 46487, 2881, 579, 134, 6, 46487, 2881, 910, 176, 6, 46487, 2881, 579, 176, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 3204, 241, 20401, 1640, 1071, 7309, 677, 24554, 1640, 10810, 4, 225, 20414, 510, 10074, 1640, 808, 6, 92, 30383, 46934, 748, 134, 6, 910, 134, 6, 579, 134, 43, 45994, 1203, 254, 134, 6, 22, 49695, 6543, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 3204, 241, 20401, 1640, 1071, 7309, 677, 24554, 1640, 10810, 4, 225, 20414, 510, 10074, 1640, 808, 6, 92, 30383, 46934, 748, 176, 6, 910, 176, 6, 579, 176, 43, 45994, 1203, 254, 176, 6, 22, 49695, 6543, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 33295, 9125, 46552, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract101.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 134, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 9685, 19588, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 14852, 30383, 1640, 46823, 2881, 13561, 6, 6755, 3783, 92, 30383, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 9685, 19588, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract102.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 176, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 9685, 19588, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 14852, 30383, 1640, 46823, 2881, 13561, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 9685, 19588, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 41039, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract103.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 246, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 19163, 36267, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 2937, 30383, 1640, 46823, 2881, 13561, 6, 6755, 3783, 92, 30383, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 19163, 36267, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract104.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 306, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 19163, 36267, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 2937, 30383, 1640, 46823, 2881, 13561, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 19163, 36267, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 41039, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract105.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 245, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 47256, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 800, 30383, 1640, 46823, 2881, 13561, 6, 6755, 3783, 92, 30383, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 47256, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract106.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 401, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 47256, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 800, 30383, 1640, 46823, 2881, 13561, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 47256, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 41039, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
Contract107.sol,"[4862, 1073, 1916, 2705, 1571, 37249, 288, 4, 398, 4, 288, 131, 50118, 50118, 31938, 4415, 32267, 30383, 46552, 23031, 196, 37668, 406, 25522, 50118, 1437, 1437, 1437, 49315, 24554, 285, 14852, 14699, 131, 50118, 1437, 1437, 1437, 1437, 50118, 1437, 1437, 1437, 515, 5423, 9685, 19588, 1640, 44547, 43220, 31, 32267, 6, 1100, 43220, 7, 32267, 6, 46487, 2881, 43220, 13561, 6, 6755, 414, 4397, 50140, 1437, 1437, 1437, 47073, 1640, 47157, 24554, 18134, 879, 8292, 14699, 43, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 14852, 14699, 5457, 18134, 879, 8292, 14699, 131, 50118, 1437, 1437, 1437, 35524, 50140, 1437, 1437, 1437, 5043, 14852, 30383, 1640, 46823, 2881, 13561, 6, 6755, 3783, 92, 30383, 43, 285, 25522, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 16776, 4, 10519, 48571, 49095, 14852, 14699, 6, 22, 30383, 16, 202, 5930, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 2703, 1640, 46823, 1640, 4651, 30383, 322, 16096, 8061, 321, 6, 22, 30383, 197, 45, 28, 5802, 45751, 50118, 1437, 1437, 1437, 1437, 1437, 1437, 1437, 29901, 5423, 9685, 19588, 1640, 44547, 1640, 9226, 238, 1100, 1640, 288, 238, 13561, 6, 92, 30383, 4397, 50118, 1437, 1437, 1437, 35524, 50118, 24303, 50118]",benign
